,prices,address,description
52,"1,900,000€","Penthouse in Sant Gervasi - Galvany, Barcelona",5 bed 306 m²  exterior with lift 
53,"470,000€","Flat / Apartment in El Gòtic, Barcelona",3 bed 88 m²  exterior with lift 
54,"6,500,000€","House in Pedralbes, Barcelona",6 bed 800 m² 
55,"4,600,000€","House in Pedralbes, Barcelona",10 bed 790 m² 
56,"1,195,000€","Flat / Apartment in La Dreta de l'Eixample, Barcelona",6 bed 208 m²   with lift 
57,"1,550,000€","Flat / Apartment in Pedralbes, Barcelona",5 bed 286 m²  exterior with lift 
58,"2,300,000€","Flat / Apartment in Les Tres Torres, Barcelona",6 bed 351 m²  exterior with lift 
59,"2,150,000€","Penthouse in Les Tres Torres, Barcelona",4 bed 375 m²  exterior with lift 
60,"2,000,000€","Flat / Apartment in Pedralbes, Barcelona",5 bed 279 m²  exterior with lift 
61,"1,630,000€","Flat / Apartment in Sant Gervasi - Galvany, Barcelona",5 bed 264 m²  exterior with lift 
62,"1,750,000€","Flat / Apartment in Sant Gervasi - Galvany, Barcelona",9 bed 444 m²  exterior with lift 
63,"2,400,000€","Flat / Apartment in Pedralbes, Barcelona",5 bed 367 m²  exterior with lift 
64,"770,000€","Flat / Apartment in Sant Gervasi - Galvany, Barcelona",5 bed 140 m²  exterior with lift 
65,"790,000€","Penthouse in El Putxet i el Farró, Barcelona",4 bed 120 m²  exterior with lift 
66,"670,000€","Flat / Apartment in arco de triomf, NN, Sant Pere - Santa Caterina i la Ribera, Barcelona",5 bed 140 m² Floor 8 exterior with lift 
67,"755,000€","Flat / Apartment in Gran Via de les Corts Catalanes, La Dreta de l'Eixample, Barcelona",6 bed 155 m² Floor 5 exterior with lift 
68,"192,000€","Flat / Apartment in calle del Trobador, El Guinardó, Barcelona",3 bed 81 m² Floor 3 exterior without lift 
69,"520,000€","Flat / Apartment in El Putxet i el Farró, Barcelona",3 bed 133 m² Floor 4  with lift 
70,"499,000€","Flat / Apartment in Sant Gervasi - Galvany, Barcelona",4 bed 161 m² Floor 1  with lift 
71,"195,000€","Flat / Apartment in Provençals del Poblenou, Barcelona",4 bed 79 m² Floor 4 exterior with lift 
72,"1,850,000€","Duplex in Les Tres Torres, Barcelona",7 bed 435 m² Floor 4 exterior with lift 
73,"185,000€","Terraced house in calle del Marquès de Foronda, La Font d'En Fargues, Barcelona",1 bed 47 m² 
74,"730,000€","Flat / Apartment in El Putxet i el Farró, Barcelona",3 bed 143 m² Floor 4 exterior with lift 
75,"240,000€","Flat / Apartment in calle Gran de Gràcia, Vila de Gràcia, Barcelona",3 bed 72 m² Floor 4 exterior without lift 
76,"350,000€","Flat / Apartment in calle d'Aragó, L'Antiga Esquerra de l'Eixample, Barcelona",3 bed 97 m² Floor 3 exterior with lift 
77,"1,050,000€","Detached house in Passatge de Montornès, Vallcarca i els Penitents, Barcelona",7 bed 391 m² 
78,"186,000€","Flat / Apartment in avenida Meridiana, Sant Andreu, Barcelona",3 bed 64 m² Floor 3 exterior with lift 
79,"950,000€","Flat / Apartment in Les Tres Torres, Barcelona",4 bed 162 m²  exterior with lift 
