,prices,address,description
0,"1,950,000€","Flat / Apartment in Sant Pere - Santa Caterina i la Ribera, Barcelona",4 bed 346 m²  exterior 
1,"2,975,000€","Detached house in Sarrià, Barcelona",5 bed 554 m² 
2,"690,000€","Flat / Apartment in L'Antiga Esquerra de l'Eixample, Barcelona",4 bed 171 m² Floor 4  with lift 
3,"1,648,000€","Detached house in calle de Sant Pere Claver, 234, Sarrià, Barcelona",5 bed 600 m² 
4,"169,000€","Flat / Apartment in Selva de Mar, Sant Martí de Provençals, Barcelona",3 bed 67 m² Floor 5 exterior with lift 
5,"349,500€","Flat / Apartment in calle Monistrol, NN, Vila de Gràcia, Barcelona",2 bed 65 m²  exterior with lift 
6,"720,000€","Flat / Apartment in Gran Via de les Corts Catalanes, NN, La Nova Esquerra de l'Eixample, Barcelona",6 bed 133 m² Floor 2 exterior with lift 
7,"890,000€","Flat / Apartment in calle de Ricardo Calvo, Sant Gervasi - La Bonanova, Barcelona",5 bed 200 m² Floor 5 exterior with lift 
8,"360,000€","Flat / Apartment in paseo de la Zona Franca, NN, La Marina del Port, Barcelona",3 bed 110 m² Floor 10 exterior with lift 
9,"195,000€","Flat / Apartment in ronda Sant Antoni, El Raval, Barcelona",2 bed 62 m² Floor 1 exterior with lift 
10,"595,000€","Flat / Apartment in calle de Bailèn, La Dreta de l'Eixample, Barcelona",4 bed 123 m² Floor 1 exterior with lift 
11,"449,000€","Penthouse in calle de la Mare de Déu dels Angels, La Teixonera, Barcelona",3 bed 115 m² Floor 2  
12,"595,000€","Duplex in La Sagrada Família, Barcelona",3 bed 121 m² Floor 3 exterior with lift 
13,"525,000€","Flat / Apartment in calle Gran de Gràcia, Vila de Gràcia, Barcelona",4 bed 125 m² Floor 2 exterior with lift 
14,"915,000€","Flat / Apartment in La Dreta de l'Eixample, Barcelona",3 bed 145 m²  exterior with lift 
15,"998,000€","Flat / Apartment in La Dreta de l'Eixample, Barcelona",3 bed 158 m²  exterior with lift 
16,"1,890,000€","Penthouse in La Nova Esquerra de l'Eixample, Barcelona",6 bed 336 m²  exterior with lift 
17,"795,000€","Flat / Apartment in Diagonal Mar i el Front Marítim del Poblenou, Barcelona",3 bed 105 m²  exterior with lift 
18,"649,000€","Flat / Apartment in El Putxet i el Farró, Barcelona",4 bed 145 m² Floor 7 exterior with lift 
19,"2,550,000€","Flat / Apartment in La Dreta de l'Eixample, Barcelona",4 bed 240 m²  exterior with lift 
20,"1,522,500€","Flat / Apartment in Diagonal Mar i el Front Marítim del Poblenou, Barcelona",3 bed 176 m² Floor 10 exterior with lift 
21,"490,000€","Flat / Apartment in calle Casanova, L'Antiga Esquerra de l'Eixample, Barcelona",3 bed 111 m² Floor 6 exterior with lift 
22,"545,000€","Flat / Apartment in calle del Rosselló, La Dreta de l'Eixample, Barcelona",5 bed 150 m² Floor 3 exterior with lift 
23,"599,000€","Flat / Apartment in L'Antiga Esquerra de l'Eixample, Barcelona",2 bed 120 m² Floor 1 exterior with lift 
24,"360,000€","Flat / Apartment in El Poblenou, Barcelona",3 bed 83 m² Floor 2 exterior with lift 
25,"720,000€","Flat / Apartment in El Gòtic, Barcelona",2 bed 122 m²  exterior with lift 
26,"1,140,000€","Flat / Apartment in El Camp d'En Grassot i Gràcia Nova, Barcelona",3 bed 189 m²  exterior with lift 
27,"995,000€","Penthouse in via Augusta, NN, Les Tres Torres, Barcelona",4 bed 181 m²  exterior with lift 
28,"299,000€","Flat / Apartment in avenida del Paral·lel, Sant Antoni, Barcelona",4 bed 84 m² Floor 2 exterior with lift 
29,"450,000€","House in calle d'En Fontrodona, NN, El Poble Sec - Parc de Montjuïc, Barcelona",3 bed 159 m² 
30,"205,000€","Flat / Apartment in calle Mossèn Quintí Mallofré, 37, Sant Andreu, Barcelona",3 bed 75 m² Mezzanine exterior with lift 
31,"435,000€","Flat / Apartment in Mare de Déu dels Àngels, La Teixonera, Barcelona",3 bed 90 m² Ground floor exterior with lift 
32,"319,000€","Flat / Apartment in calle de Parcerisa, NN, La Bordeta, Barcelona",2 bed 92 m² Floor 1 exterior with lift 
