,prices,address,description
0,"718,500€","Flat / Apartment in calle de González Tablas, 17, Pedralbes, Barcelona",3 bed 148 m² Floor 1 exterior with lift 
1,"330,000€","Flat / Apartment in calle de Sardenya, El Camp d'En Grassot i Gràcia Nova, Barcelona",4 bed 132 m² Ground floor exterior with lift 
2,"597,500€","Flat / Apartment in L'Antiga Esquerra de l'Eixample, Barcelona",2 bed 141 m² Floor 5 exterior with lift 
3,"300,000€","Flat / Apartment in El Poblenou, Barcelona",3 bed 69 m² Floor 2 exterior with lift 
4,"950,000€","Penthouse in La Dreta de l'Eixample, Barcelona",5 bed 180 m²  exterior with lift 
5,"295,000€","Flat / Apartment in La Maternitat i Sant Ramon, Barcelona",3 bed 74 m² Floor 5  with lift 
6,"395,000€","Flat / Apartment in calle SOR EULÀLIA D´ANZIZU, Pedralbes, Barcelona",3 bed 95 m² Ground floor exterior with lift 
7,"1,750,000€","Flat / Apartment in Sant Gervasi - Galvany, Barcelona",4 bed 314 m² Floor 3  with lift 
8,"1,670,000€","Flat / Apartment in Sant Gervasi - La Bonanova, Barcelona",5 bed 304 m² Floor 5  with lift 
9,"199,000€","Penthouse in El Raval, Barcelona",2 bed 73 m² Floor 5  without lift 
10,"450,000€","Flat / Apartment in La Font de la Guatlla, Barcelona",5 bed 127 m²   with lift 
11,"915,000€","Flat / Apartment in La Dreta de l'Eixample, Barcelona",4 bed 162 m² Floor 2  with lift 
12,"795,000€","Detached house in Sant Genís Dels Agudells - Montbau, Barcelona",10 bed 297 m² 
13,"395,000€","Flat / Apartment in Sant Gervasi - Galvany, Barcelona",4 bed 100 m²   with lift 
14,"225,000€","Flat / Apartment in Hostafrancs, Barcelona",3 bed 96 m²   with lift 
15,"870,000€","Flat / Apartment in Pedralbes, Barcelona",4 bed 159 m² Floor 1  with lift 
16,"1,880,000€","Flat / Apartment in Les Tres Torres, Barcelona",6 bed 305 m² Floor 3  with lift 
17,"2,600,000€","Flat / Apartment in El Raval, Barcelona","10 bed 1,248 m²   without lift "
18,"495,000€","Flat / Apartment in Sant Gervasi - La Bonanova, Barcelona",4 bed 102 m² Floor 4  with lift 
19,"1,390,000€","Penthouse in Sant Gervasi - Galvany, Barcelona",4 bed 185 m² Floor 6  with lift 
20,"520,000€","Detached house in El Carmel, Barcelona",4 bed 140 m² 
21,"1,800,000€","Detached house in El Coll, Barcelona",4 bed 294 m² 
22,"720,000€","Detached house in La Font d'En Fargues, Barcelona",6 bed 224 m² 
23,"370,000€","Flat / Apartment in El Raval, Barcelona",5 bed 118 m² Floor 1  without lift 
24,"280,000€","Flat / Apartment in calle de Valencia, La Sagrada Família, Barcelona",3 bed 83 m² Floor 2 exterior with lift 
25,"195,000€","Flat / Apartment in calle de Josep Pla, NN, Provençals del Poblenou, Barcelona",4 bed 79 m² Floor 4 exterior with lift 
26,"195,000€","Flat / Apartment in Provençals, NN, Provençals del Poblenou, Barcelona",4 bed 79 m² Floor 4 exterior with lift 
27,"275,000€","Flat / Apartment in Av. Diagonal, 152, Provençals del Poblenou, Barcelona",4 bed 125 m² Floor 4 exterior with lift 
28,"475,000€","Flat / Apartment in calle Provenza, 353, La Dreta de l'Eixample, Barcelona",5 bed 129 m² Floor 4 exterior with lift 
29,"900,000€","Flat / Apartment in Calvet, Sant Gervasi - Galvany, Barcelona",4 bed 174 m² Mezzanine exterior with lift 
30,"415,000€","Flat / Apartment in calle de Calvet, 10, Sant Gervasi - Galvany, Barcelona",4 bed 120 m² Floor 1 exterior with lift 
31,"395,000€","Flat / Apartment in calle de Villarroel, L'Antiga Esquerra de l'Eixample, Barcelona",4 bed 92 m² Floor 2 exterior with lift 
32,"189,000€","Flat / Apartment in rambla de Prim, La Verneda i la Pau, Barcelona",3 bed 91 m² Floor 5 exterior with lift 
33,"195,000€","Flat / Apartment in calle de Josep Pla, Provençals del Poblenou, Barcelona",4 bed 79 m² Floor 4 exterior with lift 
34,"245,000€","Flat / Apartment in calle de Ramon Miquel i Planas, Sarrià, Barcelona",1 bed 43 m² Floor 2 exterior with lift 
