,prices,address,description
51,"420,000€","Flat / Apartment in calle del Dos de Maig, La Sagrada Família, Barcelona",4 bed 94 m² Floor 1 exterior with lift 
52,"640,000€","Flat / Apartment in Bilbao, El Poblenou, Barcelona",3 bed 195 m² Floor 3 exterior with lift 
53,"358,000€","Flat / Apartment in calle del Carme, El Raval, Barcelona",5 bed 100 m² Floor 4  with lift 
54,"649,000€","Penthouse in El Gòtic, Barcelona",2 bed 108 m² Floor 6 exterior with lift 
55,"775,000€","Flat / Apartment in Sant Gervasi - Galvany, Barcelona",4 bed 169 m² Floor 1 exterior with lift 
56,"340,000€","Flat / Apartment in El Clot, Barcelona",4 bed 93 m² Floor 6 exterior with lift 
57,"495,000€","Flat / Apartment in Sant Antoni, Barcelona",4 bed 140 m² Floor 5 exterior with lift 
58,"810,000€","Penthouse in Sant Gervasi - Galvany, Barcelona",2 bed 101 m²  exterior with lift 
59,"690,000€","Penthouse in La Nova Esquerra de l'Eixample, Barcelona",3 bed 88 m²  exterior with lift 
60,"345,000€","Flat / Apartment in El Camp de l'Arpa del Clot, Barcelona",4 bed 102 m² Floor 3 exterior with lift 
61,"950,000€","Flat / Apartment in El Gòtic, Barcelona",3 bed 174 m² Floor 1 exterior with lift 
62,"299,000€","Flat / Apartment in calle de Lepant, La Sagrada Família, Barcelona",3 bed 81 m² Floor 5  with lift 
63,"690,000€","Detached house in La Bordeta, Barcelona",4 bed 239 m² 
64,"1,495,000€","Penthouse in La Dreta de l'Eixample, Barcelona",3 bed 153 m² Floor 9  with lift 
65,"895,000€","Flat / Apartment in La Dreta de l'Eixample, Barcelona",4 bed 148 m² Floor 3  with lift 
66,"650,000€","Flat / Apartment in paseo de Colom, El Gòtic, Barcelona",3 bed 144 m² Floor 1 exterior with lift 
67,"530,000€","Flat / Apartment in calle del Consell de Cent, L'Antiga Esquerra de l'Eixample, Barcelona",4 bed 124 m² Floor 3 exterior with lift 
68,"660,000€","Flat / Apartment in calle de Vallmajor, Sant Gervasi - Galvany, Barcelona",3 bed 115 m² Floor 2 exterior with lift 
69,"560,000€","Flat / Apartment in DIPUTACIO, La Dreta de l'Eixample, Barcelona",3 bed 131 m² Floor 6 exterior with lift 
70,"800,000€","Duplex in paseo de Gràcia, La Dreta de l'Eixample, Barcelona",2 bed 100 m² Floor 5 exterior with lift 
71,"360,000€","Flat / Apartment in calle del Consell de Cent, La Dreta de l'Eixample, Barcelona",1 bed 70 m²  exterior with lift 
72,"990,000€","Flat / Apartment in calle de Casp, La Dreta de l'Eixample, Barcelona",3 bed 115 m² Floor 3 exterior with lift 
73,"1,900,000€","Flat / Apartment in calle de Balmes, Sant Gervasi - Galvany, Barcelona",5 bed 277 m² Floor 5 exterior with lift 
74,"280,000€","Flat / Apartment in calle de Gelabert, Les Corts, Barcelona",2 bed 81 m²   without lift 
75,"470,000€","Flat / Apartment in calle MARTI, El Camp d'En Grassot i Gràcia Nova, Barcelona",3 bed 104 m² Floor 1 exterior with lift 
76,"2,450,000€","Penthouse in La Dreta de l'Eixample, Barcelona",7 bed 260 m²  exterior with lift 
77,"370,000€","Flat / Apartment in El Poblenou, Barcelona",2 bed 71 m² Floor 2 interior with lift 
78,"650,000€","Flat / Apartment in El Poble Sec - Parc de Montjuïc, Barcelona",4 bed 228 m² Ground floor interior with lift 
79,"995,000€","Flat / Apartment in La Dreta de l'Eixample, Barcelona",3 bed 148 m²  exterior with lift 
80,"880,000€","Flat / Apartment in Sant Gervasi - Galvany, Barcelona",3 bed 160 m² Floor 7 exterior with lift 
