,prices,address,description
576,"344,000€","Flat / Apartment in calle del Pare Laínez, 44, El Camp d'En Grassot i Gràcia Nova, Barcelona",2 bed 72 m²   with lift 
577,"283,000€","Flat / Apartment in calle del Pare Laínez, 44, El Camp d'En Grassot i Gràcia Nova, Barcelona",1 bed 58 m²   with lift 
578,"240,000€","Flat / Apartment in calle del Pare Laínez, 44, El Camp d'En Grassot i Gràcia Nova, Barcelona",1 bed 49 m²   with lift 
579,"376,000€","Flat / Apartment in calle del Pare Laínez, 44, El Camp d'En Grassot i Gràcia Nova, Barcelona",2 bed 79 m²   with lift 
580,"309,000€","Flat / Apartment in calle del Pare Laínez, 44, El Camp d'En Grassot i Gràcia Nova, Barcelona",2 bed 65 m²   with lift 
581,"342,000€","Flat / Apartment in calle del Pare Laínez, 44, El Camp d'En Grassot i Gràcia Nova, Barcelona",2 bed 72 m²   with lift 
582,"280,000€","Flat / Apartment in calle del Pare Laínez, 44, El Camp d'En Grassot i Gràcia Nova, Barcelona",1 bed 58 m²   with lift 
583,"237,000€","Flat / Apartment in calle del Pare Laínez, 44, El Camp d'En Grassot i Gràcia Nova, Barcelona",1 bed 49 m²  exterior with lift 
584,"375,000€","Flat / Apartment in calle del Pare Laínez, 44, El Camp d'En Grassot i Gràcia Nova, Barcelona",2 bed 79 m²  exterior with lift 
585,"335,000€","Flat / Apartment in calle del Pare Laínez, 44, El Camp d'En Grassot i Gràcia Nova, Barcelona",1 bed 70 m²  exterior with lift 
586,"345,000€","Flat / Apartment in calle murcia, 12, Navas, Barcelona",2 bed 77 m² Floor 2 exterior with lift 
587,"425,000€","Flat / Apartment in calle murcia, 12, Navas, Barcelona",2 bed 77 m² Floor 6 exterior with lift 
588,"355,000€","Flat / Apartment in calle murcia, 12, Navas, Barcelona",2 bed 77 m² Floor 4 exterior with lift 
589,"533,000€","Duplex in calle murcia, 12, Navas, Barcelona",3 bed 156 m²  exterior with lift 
590,"340,000€","Flat / Apartment in calle murcia, 12, Navas, Barcelona",2 bed 77 m² Mezzanine exterior with lift 
591,"538,000€","Duplex in calle murcia, 12, Navas, Barcelona",3 bed 118 m²  exterior with lift 
592,"340,000€","Flat / Apartment in calle murcia, 12, Navas, Barcelona",2 bed 77 m² Floor 1 exterior with lift 
593,"276,000€","Flat / Apartment in El Raval, Barcelona",2 bed 58 m²  exterior with lift 
594,"485,000€","Duplex in calle Maragall, 219, El Guinardó, Barcelona",2 bed 100 m² Ground floor exterior with lift 
595,"465,000€","Duplex in calle Maragall, 219, El Guinardó, Barcelona",2 bed 94 m² Ground floor exterior with lift 
596,"367,500€","Duplex in calle Josep Serrano, 18, Can Baró, Barcelona",2 bed 105 m² Ground floor exterior with lift 
597,"624,000€","Flat / Apartment in calle Balmes, 262, Sant Gervasi - Galvany, Barcelona",2 bed 69 m² Floor 6 exterior with lift 
598,"648,000€","Flat / Apartment in calle Balmes, 262, Sant Gervasi - Galvany, Barcelona",2 bed 73 m² Floor 2 exterior with lift 
599,"624,000€","Flat / Apartment in calle Balmes, 262, Sant Gervasi - Galvany, Barcelona",2 bed 70 m² Floor 4 exterior with lift 
600,"624,000€","Flat / Apartment in calle Balmes, 262, Sant Gervasi - Galvany, Barcelona",2 bed 69 m² Floor 6 exterior with lift 
601,"616,000€","Flat / Apartment in calle Balmes, 262, Sant Gervasi - Galvany, Barcelona",2 bed 69 m² Floor 5 exterior with lift 
602,"616,000€","Flat / Apartment in calle Balmes, 262, Sant Gervasi - Galvany, Barcelona",2 bed 70 m² Floor 3 exterior with lift 
603,"639,000€","Flat / Apartment in calle Balmes, 262, Sant Gervasi - Galvany, Barcelona",2 bed 73 m² Floor 2 exterior with lift 
604,"599,000€","Flat / Apartment in calle Balmes, 262, Sant Gervasi - Galvany, Barcelona",2 bed 69 m² Floor 3 exterior with lift 
605,"607,000€","Flat / Apartment in calle Balmes, 262, Sant Gervasi - Galvany, Barcelona",2 bed 70 m² Floor 2 exterior with lift 
606,"683,000€","Flat / Apartment in calle Balmes, 262, Sant Gervasi - Galvany, Barcelona",2 bed 73 m² Floor 7 exterior with lift 
607,"591,000€","Flat / Apartment in calle Balmes, 262, Sant Gervasi - Galvany, Barcelona",2 bed 69 m² Floor 2 exterior with lift 
608,"703,000€","Penthouse in calle Sancho de Ávila, 41, El Parc i la Llacuna del Poblenou, Barcelona",1 bed 108 m² Floor 2 exterior with lift 
609,"986,500€","Penthouse in calle Sancho de Ávila, 41, El Parc i la Llacuna del Poblenou, Barcelona",1 bed 164 m² Floor 2 exterior with lift 
610,"916,000€","Flat / Apartment in calle Sancho de Ávila, 41, El Parc i la Llacuna del Poblenou, Barcelona",1 bed 153 m² Ground floor exterior with lift 
611,"826,500€","Penthouse in calle Sancho de Ávila, 41, El Parc i la Llacuna del Poblenou, Barcelona",1 bed 138 m² Floor 2 exterior with lift 
612,"577,000€","Flat / Apartment in calle Sancho de Ávila, 41, El Parc i la Llacuna del Poblenou, Barcelona",1 bed 105 m² Floor 1 exterior with lift 
613,"496,000€","Flat / Apartment in calle Sancho de Ávila, 41, El Parc i la Llacuna del Poblenou, Barcelona",1 bed 76 m² Floor 1 exterior with lift 
614,"630,000€","Flat / Apartment in calle Sancho de Ávila, 41, El Parc i la Llacuna del Poblenou, Barcelona",1 bed 115 m² Floor 1 exterior with lift 
615,"717,000€","Penthouse in calle Sancho de Ávila, 41, El Parc i la Llacuna del Poblenou, Barcelona",1 bed 110 m² Floor 2 exterior with lift 
616,"907,500€","Penthouse in calle Sancho de Ávila, 41, El Parc i la Llacuna del Poblenou, Barcelona",1 bed 151 m² Floor 2 exterior with lift 
617,"648,000€","Flat / Apartment in calle Sancho de Ávila, 41, El Parc i la Llacuna del Poblenou, Barcelona",1 bed 118 m² Floor 1 exterior with lift 
618,"545,000€","Flat / Apartment in calle Sancho de Ávila, 41, El Parc i la Llacuna del Poblenou, Barcelona",1 bed 103 m² Ground floor exterior with lift 
619,"410,000€","Flat / Apartment in calle Sancho de Ávila, 41, El Parc i la Llacuna del Poblenou, Barcelona",1 bed 63 m² Floor 1 exterior with lift 
620,"452,500€","Flat / Apartment in calle Sancho de Ávila, 41, El Parc i la Llacuna del Poblenou, Barcelona",1 bed 75 m² Ground floor exterior with lift 
621,"596,000€","Flat / Apartment in calle d'Àlaba, 139, El Parc i la Llacuna del Poblenou, Barcelona",4 bed 114 m² Floor 5 exterior with lift 
622,"375,000€","Flat / Apartment in calle d'Àlaba, 139, El Parc i la Llacuna del Poblenou, Barcelona",2 bed 67 m² Floor 4 exterior with lift 
623,"499,000€","Flat / Apartment in calle d'Àlaba, 139, El Parc i la Llacuna del Poblenou, Barcelona",3 bed 95 m² Floor 3 exterior with lift 
624,"630,000€","Flat / Apartment in calle d'Àlaba, 139, El Parc i la Llacuna del Poblenou, Barcelona",4 bed 119 m² Floor 3 exterior with lift 
625,"410,000€","Flat / Apartment in calle Santa Coloma, 68, Sant Andreu, Barcelona",4 bed 91 m² Floor 2 exterior with lift 
626,"395,000€","Flat / Apartment in calle Santa Coloma, 68, Sant Andreu, Barcelona",3 bed 88 m² Floor 1 exterior with lift 
627,"380,000€","Flat / Apartment in calle Santa Coloma, 68, Sant Andreu, Barcelona",3 bed 87 m² Floor 1 exterior with lift 
628,"490,000€","Flat / Apartment in calle Santa Coloma, 68, Sant Andreu, Barcelona",4 bed 114 m² Floor 2 exterior with lift 
629,"480,000€","Flat / Apartment in calle Santa Coloma, 68, Sant Andreu, Barcelona",4 bed 109 m² Floor 1 exterior with lift 
630,"480,000€","Flat / Apartment in calle Santa Coloma, 68, Sant Andreu, Barcelona",4 bed 109 m² Floor 1 exterior with lift 
631,"380,000€","Flat / Apartment in calle Santa Coloma, 68, Sant Andreu, Barcelona",3 bed 84 m² Floor 1 exterior with lift 
632,"520,000€","Duplex in calle Santa Coloma, 68, Sant Andreu, Barcelona",4 bed 147 m² Ground floor exterior with lift 
633,"385,000€","Duplex in calle Santa Coloma, 68, Sant Andreu, Barcelona",3 bed 120 m² Ground floor exterior with lift 
634,"360,000€","Duplex in calle Santa Coloma, 68, Sant Andreu, Barcelona",3 bed 96 m² Ground floor exterior with lift 
635,"375,000€","Duplex in calle Santa Coloma, 68, Sant Andreu, Barcelona",4 bed 114 m² Ground floor exterior with lift 
636,"420,000€","Duplex in calle Santa Coloma, 68, Sant Andreu, Barcelona",3 bed 112 m² Ground floor exterior with lift 
637,"162,000€","Flat / Apartment in calle Tajo, 51, Horta, Barcelona",1 bed 55 m² Ground floor exterior with lift 
638,"540,000€","Flat / Apartment in calle Mare de Deu del Coll, Vallcarca i els Penitents, Barcelona",4 bed 141 m²  exterior with lift 
639,"445,000€","Flat / Apartment in calle Otger, 10, Sant Andreu, Barcelona",3 bed 86 m² Floor 4 exterior with lift 
640,"410,000€","Flat / Apartment in calle Otger, 10, Sant Andreu, Barcelona",3 bed 86 m² Floor 3 exterior with lift 
641,"405,000€","Flat / Apartment in calle Otger, 10, Sant Andreu, Barcelona",3 bed 86 m² Floor 2 exterior with lift 
642,"400,000€","Flat / Apartment in calle Otger, 10, Sant Andreu, Barcelona",3 bed 86 m² Floor 1 exterior with lift 
643,"385,000€","Flat / Apartment in calle Otger, 10, Sant Andreu, Barcelona",2 bed 69 m² Floor 4 exterior with lift 
644,"350,000€","Flat / Apartment in calle Otger, 10, Sant Andreu, Barcelona",2 bed 69 m² Floor 3 exterior with lift 
645,"345,000€","Flat / Apartment in calle Otger, 10, Sant Andreu, Barcelona",2 bed 69 m² Floor 2 exterior with lift 
646,"340,000€","Flat / Apartment in calle Otger, 10, Sant Andreu, Barcelona",2 bed 69 m² Floor 1 exterior with lift 
647,"745,000€","Flat / Apartment in calle cartagena, 202, La Sagrada Família, Barcelona",3 bed 148 m² Floor 4 exterior with lift 
648,"435,000€","Flat / Apartment in calle cartagena, 202, La Sagrada Família, Barcelona",2 bed 78 m² Floor 1 exterior with lift 
649,"495,000€","Flat / Apartment in calle Alt de Pedrell, 28, La Font d'En Fargues, Barcelona",3 bed 112 m² Ground floor exterior with lift 
650,"457,650€","Flat / Apartment in calle Llull 350, 360, Diagonal Mar i el Front Marítim del Poblenou, Barcelona",2 bed 98 m²  exterior with lift 
651,"647,550€","Flat / Apartment in calle Llull 350, 360, Diagonal Mar i el Front Marítim del Poblenou, Barcelona",3 bed 115 m²  exterior with lift 
652,"620,000€","Duplex in calle Independencia, 311, El Camp de l'Arpa del Clot, Barcelona",3 bed 104 m² Floor 4 exterior with lift 
653,"645,000€","Duplex in calle Independencia, 311, El Camp de l'Arpa del Clot, Barcelona",3 bed 104 m² Ground floor exterior with lift 
654,"429,000€","Flat / Apartment in calle Besalu, 54, El Camp de l'Arpa del Clot, Barcelona",3 bed 104 m² Floor 1 exterior with lift 
655,"409,000€","Flat / Apartment in calle Besalu, 54, El Camp de l'Arpa del Clot, Barcelona",3 bed 91 m² Floor 1 exterior with lift 
656,"575,000€","Flat / Apartment in calle Clot, 116, El Clot, Barcelona",3 bed 95 m² Floor 3 exterior with lift 
657,"457,000€","Flat / Apartment in calle Clot, 116, El Clot, Barcelona",3 bed 95 m² Ground floor exterior with lift 
